lst_A=7,lst_A=17,,,,"1,1",0.166610112
6,16,"6,16",,,"2,2",0.036421219
6,16,"6,16",,,"3,3",0.033593485
6,16,"6,16",,,"4,4",0.026429891
6,16,"6,16",,,"5,5",0.02352675
6,16,"6,16",,,"6,10",0.007653734
6,16,"6,16",,,"6,11",0.007352109
6,16,"6,16",,,"6,12",0.006899672
7,17,"7,17",,,"6,13",0.006522641
7,17,"7,17",,,"6,14",0.006409531
6,16,"6,16",,,"6,15",0.006334125
6,16,"6,16",,,"6,16",0.397994194
6,16,"6,16",,,"6,6",0.013799344
6,16,"6,16",,,"6,7",0.012517438
6,16,"6,16",,,"6,8",0.011047016
7,17,"7,17",,,"6,9",0.010594578
6,16,"6,16",,,"7,17",0.22629416
6,16,"6,16",,,,
6,16,"6,16",,,,
4,4,"4,4",,,,
4,4,"4,4",,,,1
4,4,"4,4",,,,
4,4,"4,4",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
4,4,"4,4",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
5,5,"5,5",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
5,5,"5,5",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
5,5,"5,5",,,,
5,5,"5,5",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
6,16,"6,16",,,,
7,17,"7,17",,,,
7,17,"7,17",,,,
5,5,"5,5",,,,
5,5,"5,5",,,,
